TSSE,,with search,,with switch,,original,,,TSSE,,with search,,with switch,,original
98,1,136,1,123,1,51,,1,98,1,136,1,123,1,51
123,2,163,2,165,2,69,,2,221,2,307,2,286,2,120
165,3,201,3,165,3,106,,3,366,3,508,3,451,3,226
165,4,201,4,165,4,111,,4,515,4,709,4,616,4,337
165,5,201,5,194,5,129,,5,670,5,910,5,810,5,466
165,6,248,6,194,,,,6,835,6,1158,6,1004,,
165,7,248,7,216,,,,7,1000,7,1406,7,1220,,
172,8,291,8,216,,,,8,1172,8,1697,8,1436,,
172,9,291,9,216,,,,9,1344,9,1988,9,1652,,
172,10,291,10,216,,,,10,1516,10,2279,10,1868,,
194,11,357,11,242,,,,11,1710,11,2636,11,2110,,
194,12,357,12,248,,,,12,1904,12,2993,12,2358,,
216,,,13,266,,,,13,2120,,,13,2624,,
216,,,14,273,,,,14,2336,,,14,2897,,
216,,,,,,,,15,2552,,,,,,
220,,,,,,,,16,2772,,,,,,
240,,,,,,,,17,3012,,,,,,
242,,,,,,,,18,3254,,,,,,
242,,,,,,,,19,3496,,,,,,
248,,,,,,,,20,3744,,,,,,
266,,,,,,,,21,4010,,,,,,
273,,,,,,,,22,4283,,,,,,
