,TSSE,,with-search,,with-switch,,pure-symbolic execution,,,,TSSE,,with-search,,with-switch,,pure-symbolic execution
1,27,1,12,1,37,1,15,,,1,27,1,12,1,37,1,15
2,51,2,50,2,63,2,21,,,2,77,2,63,2,100,2,36
3,51,3,50,3,123,3,51,,,3,127,3,114,3,241,3,87
4,59,4,50,4,141,4,59,,,4,177,4,173,4,405,4,146
5,79,5,50,5,164,5,69,,,5,227,5,252,5,584,5,215
6,98,6,52,6,165,6,111,,,6,279,6,350,6,763,6,326
7,98,7,54,7,165,7,129,,,7,333,7,461,7,942,7,455
8,111,8,70,8,165,,,,,8,403,8,584,8,1129,,
9,123,9,74,9,179,,,,,9,477,9,713,9,1316,,
10,123,10,81,10,179,,,,,10,558,10,847,10,1511,,
11,129,11,81,11,179,,,,,11,639,11,981,11,1706,,
12,134,12,81,12,187,,,,,12,720,12,1115,12,1998,,
13,134,13,113,13,187,,,,,13,833,13,1249,13,2307,,
14,134,14,126,14,194,,,,,14,959,14,1383,14,2616,,
15,134,15,136,15,194,,,,,15,1093,15,1530,15,2995,,
16,134,16,147,16,195,,,,,16,1234,16,1685,16,3374,,
17,134,17,154,17,195,,,,,17,1399,,,17,3753,,
18,141,18,155,18,216,,,,,18,1564,,,18,4238,,
19,165,19,163,19,216,,,,,19,1729,,,19,4723,,
20,165,20,201,20,216,,,,,20,1894,,,,,,
21,165,21,201,21,216,,,,,21,2059,,,,,,
22,165,22,201,22,242,,,,,22,2231,,,,,,
23,165,23,248,23,248,,,,,23,2403,,,,,,
24,165,24,248,24,266,,,,,24,2575,,,,,,
25,165,25,291,25,273,,,,,25,2769,,,,,,
26,165,26,291,26,292,,,,,26,2963,,,,,,
27,165,27,291,27,309,,,,,27,3179,,,,,,
28,165,28,357,28,309,,,,,28,3395,,,,,,
29,172,29,357,29,379,,,,,29,3611,,,,,,
30,172,,,30,379,,,,,30,3827,,,,,,
31,172,,,31,379,,,,,31,4069,,,,,,
32,172,,,32,485,,,,,32,4317,,,,,,
33,172,,,33,485,,,,,33,4583,,,,,,
34,172,,,,,,,,,34,4856,,,,,,
35,194,,,,,,,,,,,,,,,,
36,194,,,,,,,,,,,,,,,,
37,194,,,,,,,,,,,,,,,,
38,194,,,,,,,,,,,,,,,,
39,216,,,,,,,,,,,,,,,,
40,216,,,,,,,,,,,,,,,,
41,216,,,,,,,,,,,,,,,,
42,216,,,,,,,,,,,,,,,,
43,216,,,,,,,,,,,,,,,,
44,216,,,,,,,,,,,,,,,,
45,216,,,,,,,,,,,,,,,,
46,220,,,,,,,,,,,,,,,,
47,240,,,,,,,,,,,,,,,,
48,242,,,,,,,,,,,,,,,,
49,242,,,,,,,,,,,,,,,,
50,242,,,,,,,,,,,,,,,,
51,248,,,,,,,,,,,,,,,,
52,248,,,,,,,,,,,,,,,,
53,266,,,,,,,,,,,,,,,,
54,266,,,,,,,,,,,,,,,,
55,273,,,,,,,,,,,,,,,,
56,273,,,,,,,,,,,,,,,,
